Pin: U\n	{"Pref"={"Pin"="U"}}
# JW9\n	{"Pref"={"#comment"="JW9"}}
Explanation: 81\n\nPackage: 1y\n	{"Pref"={"Explanation"="81"}}{"Pref"={"Package"="1y"}}
Pin: I\n	{"Pref"={"Pin"="I"}}
Package: *\n\nExplanation: 05gTg442\n\nPackage: *\n\nPin-Priority: 29\n\nPackage: xO\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="05gTg442"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="29"}}{"Pref"={"Package"="xO"}}
Package: *\n\n# /5\n\nPackage: *\n\nPackage: *\n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="/5"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}
Explanation: -6\n\nPin: \n\nExplanation: \n	{"Pref"={"Explanation"="-6"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin-Priority: 21\n\nPin-Priority: 1\n\nPackage: *\n\nPin-Priority: 917\n\n# \n	{"Pref"={"Pin-Priority"="21"}}{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="917"}}{"Pref"={"#comment"=""}}
Pin-Priority: 1\n\nPin-Priority: 40\n\nPackage: H9w\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin-Priority"="40"}}{"Pref"={"Package"="H9w"}}
Package: *\n\nExplanation: m\n\nPackage: *\n\nExplanation: u\n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="m"}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="u"}}
Pin: '9\n\nPin: =\n\nExplanation: \n\nPin: 54\n	{"Pref"={"Pin"="'9"}}{"Pref"={"Pin"="="}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="54"}}
# \n	{"Pref"={"#comment"=""}}
# \n\nPin-Priority: 0180\n\nPin: \n\nPin: \n\nPin-Priority: 0\n\nPin: \n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="0180"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Pin"=""}}
# \n\nPackage: *\n\nPin-Priority: 8\n	{"Pref"={"#comment"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="8"}}
Pin-Priority: 7200\n\nExplanation: \n\nPin-Priority: 736395\n	{"Pref"={"Pin-Priority"="7200"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="736395"}}
Package: jFC8\n	{"Pref"={"Package"="jFC8"}}
Explanation: U\n\nPin-Priority: 4\n\nPin: Lb6B\n\n# x98:9\n	{"Pref"={"Explanation"="U"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"="Lb6B"}}{"Pref"={"#comment"="x98:9"}}
Pin-Priority: 842132\n\nPin: nx\n	{"Pref"={"Pin-Priority"="842132"}}{"Pref"={"Pin"="nx"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
# CzA\n\nExplanation: \n	{"Pref"={"#comment"="CzA"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 8304\n\nPackage: dEi0\n	{"Pref"={"Pin-Priority"="8304"}}{"Pref"={"Package"="dEi0"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: uC\n\nPackage: *\n\n# \n\nPackage: \n\nPin: 1YBH.S\n\nPin-Priority: 1\n	{"Pref"={"Pin"="uC"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Package"=""}}{"Pref"={"Pin"="1YBH.S"}}{"Pref"={"Pin-Priority"="1"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\nExplanation: \n\n# 1wy:k\n\nPin-Priority: 56\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="1wy:k"}}{"Pref"={"Pin-Priority"="56"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 3\n\nPin-Priority: 10\n	{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin-Priority"="10"}}
Pin-Priority: 3\n	{"Pref"={"Pin-Priority"="3"}}
# "\n	{"Pref"={"#comment"="\""}}
# qa\n\nPin: C\n\nPackage: *\n\nPin-Priority: 34\n	{"Pref"={"#comment"="qa"}}{"Pref"={"Pin"="C"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="34"}}
Pin: 3uM\n	{"Pref"={"Pin"="3uM"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: \n	{"Pref"={"Package"=""}}
# b\n\nPin: CNDVUIhP:\n\nPin: \n\nExplanation: \n	{"Pref"={"#comment"="b"}}{"Pref"={"Pin"="CNDVUIhP:"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Pin: 33\n\n# Bwib T\n	{"Pref"={"Pin"="33"}}{"Pref"={"#comment"="Bwib T"}}
Package: *\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
Package: \n	{"Pref"={"Package"=""}}
Pin-Priority: 68\n	{"Pref"={"Pin-Priority"="68"}}
Pin: rKz\n	{"Pref"={"Pin"="rKz"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: *\n\nPin-Priority: 0\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="0"}}
Explanation: m3K\n\nPin-Priority: 013\n	{"Pref"={"Explanation"="m3K"}}{"Pref"={"Pin-Priority"="013"}}
Package: x\n\nPin: \n	{"Pref"={"Package"="x"}}{"Pref"={"Pin"=""}}
# \n\n#  p\n\nExplanation: H W\n\n# y\n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"=" p"}}{"Pref"={"Explanation"="H W"}}{"Pref"={"#comment"="y"}}
# y\n\n# tlMz\n\n# D\n	{"Pref"={"#comment"="y"}}{"Pref"={"#comment"="tlMz"}}{"Pref"={"#comment"="D"}}
Explanation: Y:4k\n	{"Pref"={"Explanation"="Y:4k"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 4231\n	{"Pref"={"Pin-Priority"="4231"}}
Pin-Priority: 11\n	{"Pref"={"Pin-Priority"="11"}}
# 4zA\n\nPackage: zwteG\n\nPackage: 4\n\nExplanation: \n\nPin: \n\nPin-Priority: 897\n	{"Pref"={"#comment"="4zA"}}{"Pref"={"Package"="zwteG"}}{"Pref"={"Package"="4"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="897"}}
# uop\n	{"Pref"={"#comment"="uop"}}
Explanation: O'\n\nPin-Priority: 6\n	{"Pref"={"Explanation"="O'"}}{"Pref"={"Pin-Priority"="6"}}
# e\n	{"Pref"={"#comment"="e"}}
Package: \n\nPackage: IB\n\nPin: kN\n\n# "iDX\n\nPin: \n	{"Pref"={"Package"=""}}{"Pref"={"Package"="IB"}}{"Pref"={"Pin"="kN"}}{"Pref"={"#comment"="\"iDX"}}{"Pref"={"Pin"=""}}
Package: a9h\n\n# _"\n	{"Pref"={"Package"="a9h"}}{"Pref"={"#comment"="_\""}}
Pin-Priority: 137\n	{"Pref"={"Pin-Priority"="137"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: dGYM\n	{"Pref"={"Pin"="dGYM"}}
Pin: X\n	{"Pref"={"Pin"="X"}}
Pin: Y9i\n	{"Pref"={"Pin"="Y9i"}}
Package: \n\nPin-Priority: 26\n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="26"}}
Pin-Priority: 06\n\nPackage: *\n\nPin-Priority: 3\n\nPackage: FP\n\nPin-Priority: 0\n\nPackage: *\n\nPin: ISfp\n\nPackage: *\n\nPin: n\n	{"Pref"={"Pin-Priority"="06"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Package"="FP"}}{"Pref"={"Pin-Priority"="0"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="ISfp"}}{"Pref"={"Package"="*"}}{"Pref"={"Pin"="n"}}
# \n	{"Pref"={"#comment"=""}}
Explanation: FPIP\n	{"Pref"={"Explanation"="FPIP"}}
Pin-Priority: 188\n	{"Pref"={"Pin-Priority"="188"}}
Package: \n\nExplanation: +Gc\n\n# \n	{"Pref"={"Package"=""}}{"Pref"={"Explanation"="+Gc"}}{"Pref"={"#comment"=""}}
Pin-Priority: 6455895\n\nPackage: *\n	{"Pref"={"Pin-Priority"="6455895"}}{"Pref"={"Package"="*"}}
# \n\nPin-Priority: 7\n\nExplanation: \n\n# \n\n# MN \n\n# dN4/d-\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="MN "}}{"Pref"={"#comment"="dN4/d-"}}
Pin-Priority: 33\n	{"Pref"={"Pin-Priority"="33"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: \n\nPin: R'c\n\n# d\n\nPin: h\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="R'c"}}{"Pref"={"#comment"="d"}}{"Pref"={"Pin"="h"}}
Package: *\n\nPin-Priority: 01\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="01"}}
# 470\n	{"Pref"={"#comment"="470"}}
# vs\n	{"Pref"={"#comment"="vs"}}
# \n	{"Pref"={"#comment"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: *\n\nPackage: C\n	{"Pref"={"Package"="*"}}{"Pref"={"Package"="C"}}
Pin-Priority: 91\n	{"Pref"={"Pin-Priority"="91"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin: xs\n\nPin: tJ\n	{"Pref"={"Pin"="xs"}}{"Pref"={"Pin"="tJ"}}
Package: *\n	{"Pref"={"Package"="*"}}
Package: I\n\nPin: BW\n\nExplanation: \n	{"Pref"={"Package"="I"}}{"Pref"={"Pin"="BW"}}{"Pref"={"Explanation"=""}}
Package: *\n\n# Z.3\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"#comment"="Z.3"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 04\n	{"Pref"={"Pin-Priority"="04"}}
Pin-Priority: 902549\n	{"Pref"={"Pin-Priority"="902549"}}
Pin-Priority: 6737\n	{"Pref"={"Pin-Priority"="6737"}}
Explanation: \n\nExplanation: 2nOw\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="2nOw"}}
Pin: 5Oz\n	{"Pref"={"Pin"="5Oz"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: *\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 3\n\nPin: _\n\nExplanation: C\n\nExplanation: m\n\nPin: I\n\nExplanation:  \n	{"Pref"={"Pin-Priority"="3"}}{"Pref"={"Pin"="_"}}{"Pref"={"Explanation"="C"}}{"Pref"={"Explanation"="m"}}{"Pref"={"Pin"="I"}}{"Pref"={"Explanation"=" "}}
Pin: \n\nPackage: /\n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="/"}}{"Pref"={"Explanation"=""}}
Package: oE\n\nPin: '\n	{"Pref"={"Package"="oE"}}{"Pref"={"Pin"="'"}}
Explanation: IE"0\n\nPin-Priority: 653\n\nPin: \n\n# 6\n	{"Pref"={"Explanation"="IE"0"}}{"Pref"={"Pin-Priority"="653"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="6"}}
Explanation: .ksL\n\nPin: "\n\nPin: =\n\nExplanation: tE+.jY\n	{"Pref"={"Explanation"=".ksL"}}{"Pref"={"Pin"="""}}{"Pref"={"Pin"="="}}{"Pref"={"Explanation"="tE+.jY"}}
Pin-Priority: 8\n\nExplanation: \n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 1\n\nPin: e\n	{"Pref"={"Pin-Priority"="1"}}{"Pref"={"Pin"="e"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: \n\nPin: 6/w\n	{"Pref"={"Package"=""}}{"Pref"={"Pin"="6/w"}}
Pin: \n	{"Pref"={"Pin"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: \n\nPin-Priority: 7\n\n# 0lT=F\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="7"}}{"Pref"={"#comment"="0lT=F"}}
Package: \n\n# s\n	{"Pref"={"Package"=""}}{"Pref"={"#comment"="s"}}
Pin: \n\nExplanation: \n\nPackage: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"=""}}
Pin: "-\n	{"Pref"={"Pin"=""-"}}
Explanation: \n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Pin-Priority: 8\n\nExplanation: \n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Explanation"=""}}
# qan\n\nPackage: *\n	{"Pref"={"#comment"="qan"}}{"Pref"={"Package"="*"}}
Package: \n	{"Pref"={"Package"=""}}
Package: hQc\n	{"Pref"={"Package"="hQc"}}
Pin-Priority: 51\n	{"Pref"={"Pin-Priority"="51"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin-Priority: 76\n\nPin-Priority: 8\n\nPin: D\n	{"Pref"={"Pin-Priority"="76"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin"="D"}}
# /\n\nExplanation: \n	{"Pref"={"#comment"="/"}}{"Pref"={"Explanation"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
# "\n	{"Pref"={"#comment"="\""}}
Pin-Priority: 16\n	{"Pref"={"Pin-Priority"="16"}}
Pin: \n\nPackage: *\n	{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
# A1\n	{"Pref"={"#comment"="A1"}}
Pin-Priority: 5\n	{"Pref"={"Pin-Priority"="5"}}
# W8HP\n\n# g\n\nPackage: *\n	{"Pref"={"#comment"="W8HP"}}{"Pref"={"#comment"="g"}}{"Pref"={"Package"="*"}}
# \n\nPin: XiA\n	{"Pref"={"#comment"=""}}{"Pref"={"Pin"="XiA"}}
# mKu\n	{"Pref"={"#comment"="mKu"}}
Package: K\n\nPackage: *\n	{"Pref"={"Package"="K"}}{"Pref"={"Package"="*"}}
Package: 5y\n	{"Pref"={"Package"="5y"}}
# 4\n\n# \n	{"Pref"={"#comment"="4"}}{"Pref"={"#comment"=""}}
Package: *\n\nExplanation: \n	{"Pref"={"Package"="*"}}{"Pref"={"Explanation"=""}}
# xW\n	{"Pref"={"#comment"="xW"}}
# 2\n\nPin: Pm\n\nPin-Priority: 98\n\nExplanation: UnI\n\nPackage: *\n\nPackage: *\n\n# \n\nExplanation: "L\n	{"Pref"={"#comment"="2"}}{"Pref"={"Pin"="Pm"}}{"Pref"={"Pin-Priority"="98"}}{"Pref"={"Explanation"="UnI"}}{"Pref"={"Package"="*"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""L"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Package: .N\n	{"Pref"={"Package"=".N"}}
Explanation: rto\n\nExplanation: '7Y\n\nPin: \n\nExplanation: qfN\n\nPin: \n\n# "\n\nExplanation: kg\n	{"Pref"={"Explanation"="rto"}}{"Pref"={"Explanation"="'7Y"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"="qfN"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"="\""}}{"Pref"={"Explanation"="kg"}}
# \n	{"Pref"={"#comment"=""}}
Pin: 8em\n	{"Pref"={"Pin"="8em"}}
Pin: 7g=i\n\n# \n	{"Pref"={"Pin"="7g=i"}}{"Pref"={"#comment"=""}}
Package: \n\nPin-Priority: 7832\n\n# U\n\nExplanation: \n\n# \n\n# Pd\n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="7832"}}{"Pref"={"#comment"="U"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="Pd"}}
Explanation: V\n\nPackage: Q\n\nPin: \n\nPin: +mg\n	{"Pref"={"Explanation"="V"}}{"Pref"={"Package"="Q"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"="+mg"}}
Pin: i\n\n# N\n\n# C\n\nPin-Priority: 34\n\nPackage: \n	{"Pref"={"Pin"="i"}}{"Pref"={"#comment"="N"}}{"Pref"={"#comment"="C"}}{"Pref"={"Pin-Priority"="34"}}{"Pref"={"Package"=""}}
# uMDBjY\n\nPin: 1\n	{"Pref"={"#comment"="uMDBjY"}}{"Pref"={"Pin"="1"}}
Pin: \n\nPin: sfr\n\nExplanation: zB\n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"="sfr"}}{"Pref"={"Explanation"="zB"}}
Explanation: n\n\nExplanation: \n	{"Pref"={"Explanation"="n"}}{"Pref"={"Explanation"=""}}
Pin: rL:\n\nPin-Priority: 8\n\nPackage: R4M7Q\n\nPackage: fr\n\n# F\n\nExplanation: \n\n# \n	{"Pref"={"Pin"="rL:"}}{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Package"="R4M7Q"}}{"Pref"={"Package"="fr"}}{"Pref"={"#comment"="F"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}
# S\n	{"Pref"={"#comment"="S"}}
# r\n\nPin: B\n	{"Pref"={"#comment"="r"}}{"Pref"={"Pin"="B"}}
Pin: \n\nExplanation: \n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}
Package: qD\n\nPackage: sl\n	{"Pref"={"Package"="qD"}}{"Pref"={"Package"="sl"}}
# 2l\n\nExplanation: jqi\n	{"Pref"={"#comment"="2l"}}{"Pref"={"Explanation"="jqi"}}
Explanation: \n\nPin: KGioG\n\nPin: \n\nPackage: *\n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="KGioG"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Pin: L\n\n# vJy\n\nPin-Priority: 2\n\nPin: 9\n\n# te\n	{"Pref"={"Pin"="L"}}{"Pref"={"#comment"="vJy"}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Pin"="9"}}{"Pref"={"#comment"="te"}}
Package: \n	{"Pref"={"Package"=""}}
# \n\n# A0\n\nExplanation: \n\nPin-Priority: 4\n\nExplanation: \n	{"Pref"={"#comment"=""}}{"Pref"={"#comment"="A0"}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Explanation"=""}}
Pin-Priority: 8\n\nPin: \n\nPackage: \n	{"Pref"={"Pin-Priority"="8"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}
Pin-Priority: 47\n\n#  A\n\nPackage: +:\n	{"Pref"={"Pin-Priority"="47"}}{"Pref"={"#comment"=" A"}}{"Pref"={"Package"="+:"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: \n\nPin: \n	{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: y\n	{"Pref"={"Explanation"="y"}}
Pin-Priority: 5\n\nPackage: \n\nPin: \n\nPackage: \n\nPin: \n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=""}}
# \n	{"Pref"={"#comment"=""}}
Pin: \n\nExplanation: .57d\n	{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=".57d"}}
Pin-Priority: 2\n\nPackage: *\n\n# \n	{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Package"="*"}}{"Pref"={"#comment"=""}}
Pin-Priority: 6\n\nExplanation: X\n\nPackage: N+\n\nPin-Priority: 76\n\n# vk\n	{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Explanation"="X"}}{"Pref"={"Package"="N+"}}{"Pref"={"Pin-Priority"="76"}}{"Pref"={"#comment"="vk"}}
Package: \n\nPin-Priority: 6\n\nPin-Priority: 241\n\nPin-Priority: 99\n\nPin-Priority: 23\n\nExplanation: _\n\nPin: I:8\n\n# \n\n# m\n\nPackage: DN\n\nExplanation: m\n\nExplanation: \n	{"Pref"={"Package"=""}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin-Priority"="241"}}{"Pref"={"Pin-Priority"="99"}}{"Pref"={"Pin-Priority"="23"}}{"Pref"={"Explanation"="_"}}{"Pref"={"Pin"="I:8"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="m"}}{"Pref"={"Package"="DN"}}{"Pref"={"Explanation"="m"}}{"Pref"={"Explanation"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: O\n	{"Pref"={"Explanation"="O"}}
Explanation: \n\nExplanation: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: ss\n	{"Pref"={"Pin"="ss"}}
# M\n	{"Pref"={"#comment"="M"}}
Package: \n	{"Pref"={"Package"=""}}
Package: *\n	{"Pref"={"Package"="*"}}
Explanation: \n\nPin: \n	{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}
#  \n\nExplanation: I\n\nPin: \n\nPin: \n\nPackage: ekw\n	{"Pref"={"#comment"=" "}}{"Pref"={"Explanation"="I"}}{"Pref"={"Pin"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="ekw"}}
# Y\n\n# \n\nPin: \n\nPin-Priority: 4455\n\nPin-Priority: 3349\n\nExplanation: \n	{"Pref"={"#comment"="Y"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Pin-Priority"="4455"}}{"Pref"={"Pin-Priority"="3349"}}{"Pref"={"Explanation"=""}}
Explanation: w\n\n# \n\n# \n	{"Pref"={"Explanation"="w"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"=""}}
Pin-Priority: 46\n\nExplanation: :5rh\n\nExplanation: kj\n\nPin: x\n\nPin: "r\n	{"Pref"={"Pin-Priority"="46"}}{"Pref"={"Explanation"=":5rh"}}{"Pref"={"Explanation"="kj"}}{"Pref"={"Pin"="x"}}{"Pref"={"Pin"=""r"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 881\n\nPackage: *\n	{"Pref"={"Pin-Priority"="881"}}{"Pref"={"Package"="*"}}
Package: *\n	{"Pref"={"Package"="*"}}
Pin: Hy \n	{"Pref"={"Pin"="Hy "}}
Pin: R\n\nPin-Priority: 6\n\nPin-Priority: 2\n\n# n\n\nPin: Ei\n	{"Pref"={"Pin"="R"}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"#comment"="n"}}{"Pref"={"Pin"="Ei"}}
Explanation: K8\n\n# M\n\n# \n\nPin-Priority: 5\n\nPin-Priority: 54\n\n# uP\n\nPin-Priority: 30\n	{"Pref"={"Explanation"="K8"}}{"Pref"={"#comment"="M"}}{"Pref"={"#comment"=""}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin-Priority"="54"}}{"Pref"={"#comment"="uP"}}{"Pref"={"Pin-Priority"="30"}}
Pin-Priority: 77260\n	{"Pref"={"Pin-Priority"="77260"}}
Package: *\n\nPackage: \n	{"Pref"={"Package"="*"}}{"Pref"={"Package"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Pin-Priority: 5\n\nPin: '\n\nPin: \n\nPackage: *\n	{"Pref"={"Pin-Priority"="5"}}{"Pref"={"Pin"="'"}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
# \n	{"Pref"={"#comment"=""}}
Explanation: \n\nPackage: *\n\nExplanation: 7=xzhSWhBb\n\nExplanation: \n\nPackage: \n\nPin: :\n	{"Pref"={"Explanation"=""}}{"Pref"={"Package"="*"}}{"Pref"={"Explanation"="7=xzhSWhBb"}}{"Pref"={"Explanation"=""}}{"Pref"={"Package"=""}}{"Pref"={"Pin"=":"}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: eCi2\n\n# V\n	{"Pref"={"Explanation"="eCi2"}}{"Pref"={"#comment"="V"}}
Explanation: 4\n\nExplanation: r NHn+1\n\nPackage: b\n\nExplanation: j"Y\n\nPackage: *\n	{"Pref"={"Explanation"="4"}}{"Pref"={"Explanation"="r NHn+1"}}{"Pref"={"Package"="b"}}{"Pref"={"Explanation"="j"Y"}}{"Pref"={"Package"="*"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin-Priority: 875\n	{"Pref"={"Pin-Priority"="875"}}
# 3p\n\nPin-Priority: 4\n\nPin: s\n	{"Pref"={"#comment"="3p"}}{"Pref"={"Pin-Priority"="4"}}{"Pref"={"Pin"="s"}}
Pin-Priority: 7\n	{"Pref"={"Pin-Priority"="7"}}
# CWt\n	{"Pref"={"#comment"="CWt"}}
Explanation: k\n\nPin: b+kB+\n\nPin-Priority: 6\n\nPackage: 6Ze\n\nPin: \n\n# \n	{"Pref"={"Explanation"="k"}}{"Pref"={"Pin"="b+kB+"}}{"Pref"={"Pin-Priority"="6"}}{"Pref"={"Package"="6Ze"}}{"Pref"={"Pin"=""}}{"Pref"={"#comment"=""}}
Explanation: z\n\nPin-Priority: 2\n\nExplanation: \n\n# \n	{"Pref"={"Explanation"="z"}}{"Pref"={"Pin-Priority"="2"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"=""}}
Pin-Priority: 4885\n\nExplanation: \n\n# jA\n	{"Pref"={"Pin-Priority"="4885"}}{"Pref"={"Explanation"=""}}{"Pref"={"#comment"="jA"}}
# 8fVgMe+=\n	{"Pref"={"#comment"="8fVgMe+="}}
Pin-Priority: 7\n	{"Pref"={"Pin-Priority"="7"}}
Pin: +c6s\n	{"Pref"={"Pin"="+c6s"}}
Pin-Priority: 9\n\n# \n\nExplanation: \n\nPin: /9t"\n\nPin-Priority: 57\n\nPin-Priority: 28\n\nExplanation: l\n	{"Pref"={"Pin-Priority"="9"}}{"Pref"={"#comment"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"="/9t""}}{"Pref"={"Pin-Priority"="57"}}{"Pref"={"Pin-Priority"="28"}}{"Pref"={"Explanation"="l"}}
Pin: \n	{"Pref"={"Pin"=""}}
Pin: J\n\n# \n\n# E\n\nPin-Priority: 05\n\nPin-Priority: 5\n\n# r\n\nPin: .NO3ql\n\nPin-Priority: 41415\n	{"Pref"={"Pin"="J"}}{"Pref"={"#comment"=""}}{"Pref"={"#comment"="E"}}{"Pref"={"Pin-Priority"="05"}}{"Pref"={"Pin-Priority"="5"}}{"Pref"={"#comment"="r"}}{"Pref"={"Pin"=".NO3ql"}}{"Pref"={"Pin-Priority"="41415"}}
Package: *\n\nPin-Priority: 949\n\nPackage: p4\n	{"Pref"={"Package"="*"}}{"Pref"={"Pin-Priority"="949"}}{"Pref"={"Package"="p4"}}
Explanation: \n\nExplanation: II\n	{"Pref"={"Explanation"=""}}{"Pref"={"Explanation"="II"}}
Pin: \n	{"Pref"={"Pin"=""}}
Explanation: \n	{"Pref"={"Explanation"=""}}
Explanation: Fo3C\n\nExplanation: u.1Sp\n\nPin: \n\nExplanation: \n\nPin: \n\nPackage: *\n	{"Pref"={"Explanation"="Fo3C"}}{"Pref"={"Explanation"="u.1Sp"}}{"Pref"={"Pin"=""}}{"Pref"={"Explanation"=""}}{"Pref"={"Pin"=""}}{"Pref"={"Package"="*"}}
Pin: Z\n	{"Pref"={"Pin"="Z"}}
Pin: HD\n	{"Pref"={"Pin"="HD"}}
